date,is_public_holiday,day_of_week,is_weekend
1/1/2018,TRUE,Monday,FALSE
2/1/2018,FALSE,Tuesday,FALSE
3/1/2018,FALSE,Wednesday,FALSE
4/1/2018,FALSE,Thursday,FALSE
5/1/2018,FALSE,Friday,FALSE
6/1/2018,FALSE,Saturday,TRUE
7/1/2018,FALSE,Sunday,TRUE
8/1/2018,FALSE,Monday,FALSE
9/1/2018,FALSE,Tuesday,FALSE
10/1/2018,FALSE,Wednesday,FALSE
11/1/2018,FALSE,Thursday,FALSE
12/1/2018,FALSE,Friday,FALSE
13/1/2018,FALSE,Saturday,TRUE
14/1/2018,FALSE,Sunday,TRUE
15/1/2018,FALSE,Monday,FALSE
16/1/2018,FALSE,Tuesday,FALSE
17/1/2018,FALSE,Wednesday,FALSE
18/1/2018,FALSE,Thursday,FALSE
19/1/2018,FALSE,Friday,FALSE
20/1/2018,FALSE,Saturday,TRUE
21/1/2018,FALSE,Sunday,TRUE
22/1/2018,FALSE,Monday,FALSE
23/1/2018,FALSE,Tuesday,FALSE
24/1/2018,FALSE,Wednesday,FALSE
25/1/2018,FALSE,Thursday,FALSE
26/1/2018,FALSE,Friday,FALSE
27/1/2018,FALSE,Saturday,TRUE
28/1/2018,FALSE,Sunday,TRUE
29/1/2018,FALSE,Monday,FALSE
30/1/2018,FALSE,Tuesday,FALSE
31/1/2018,FALSE,Wednesday,FALSE
1/2/2018,FALSE,Thursday,FALSE
2/2/2018,FALSE,Friday,FALSE
3/2/2018,FALSE,Saturday,TRUE
4/2/2018,FALSE,Sunday,TRUE
5/2/2018,FALSE,Monday,FALSE
6/2/2018,FALSE,Tuesday,FALSE
7/2/2018,FALSE,Wednesday,FALSE
8/2/2018,FALSE,Thursday,FALSE
9/2/2018,FALSE,Friday,FALSE
10/2/2018,FALSE,Saturday,TRUE
11/2/2018,FALSE,Sunday,TRUE
12/2/2018,FALSE,Monday,FALSE
13/2/2018,FALSE,Tuesday,FALSE
14/2/2018,FALSE,Wednesday,FALSE
15/2/2018,FALSE,Thursday,FALSE
16/2/2018,TRUE,Friday,FALSE
17/2/2018,TRUE,Saturday,TRUE
18/2/2018,FALSE,Sunday,TRUE
19/2/2018,FALSE,Monday,FALSE
20/2/2018,FALSE,Tuesday,FALSE
21/2/2018,FALSE,Wednesday,FALSE
22/2/2018,FALSE,Thursday,FALSE
23/2/2018,FALSE,Friday,FALSE
24/2/2018,FALSE,Saturday,TRUE
25/2/2018,FALSE,Sunday,TRUE
26/2/2018,FALSE,Monday,FALSE
27/2/2018,FALSE,Tuesday,FALSE
28/2/2018,FALSE,Wednesday,FALSE
1/3/2018,FALSE,Thursday,FALSE
2/3/2018,FALSE,Friday,FALSE
3/3/2018,FALSE,Saturday,TRUE
4/3/2018,FALSE,Sunday,TRUE
5/3/2018,FALSE,Monday,FALSE
6/3/2018,FALSE,Tuesday,FALSE
7/3/2018,FALSE,Wednesday,FALSE
8/3/2018,FALSE,Thursday,FALSE
9/3/2018,FALSE,Friday,FALSE
10/3/2018,FALSE,Saturday,TRUE
11/3/2018,FALSE,Sunday,TRUE
12/3/2018,FALSE,Monday,FALSE
13/3/2018,FALSE,Tuesday,FALSE
14/3/2018,FALSE,Wednesday,FALSE
15/3/2018,FALSE,Thursday,FALSE
16/3/2018,FALSE,Friday,FALSE
17/3/2018,FALSE,Saturday,TRUE
18/3/2018,FALSE,Sunday,TRUE
19/3/2018,FALSE,Monday,FALSE
20/3/2018,FALSE,Tuesday,FALSE
21/3/2018,FALSE,Wednesday,FALSE
22/3/2018,FALSE,Thursday,FALSE
23/3/2018,FALSE,Friday,FALSE
24/3/2018,FALSE,Saturday,TRUE
25/3/2018,FALSE,Sunday,TRUE
26/3/2018,FALSE,Monday,FALSE
27/3/2018,FALSE,Tuesday,FALSE
28/3/2018,FALSE,Wednesday,FALSE
29/3/2018,FALSE,Thursday,FALSE
30/3/2018,TRUE,Friday,FALSE
31/3/2018,FALSE,Saturday,TRUE
1/4/2018,FALSE,Sunday,TRUE
2/4/2018,FALSE,Monday,FALSE
3/4/2018,FALSE,Tuesday,FALSE
4/4/2018,FALSE,Wednesday,FALSE
5/4/2018,FALSE,Thursday,FALSE
6/4/2018,FALSE,Friday,FALSE
7/4/2018,FALSE,Saturday,TRUE
8/4/2018,FALSE,Sunday,TRUE
9/4/2018,FALSE,Monday,FALSE
10/4/2018,FALSE,Tuesday,FALSE
11/4/2018,FALSE,Wednesday,FALSE
12/4/2018,FALSE,Thursday,FALSE
13/4/2018,FALSE,Friday,FALSE
14/4/2018,FALSE,Saturday,TRUE
15/4/2018,FALSE,Sunday,TRUE
16/4/2018,FALSE,Monday,FALSE
17/4/2018,FALSE,Tuesday,FALSE
18/4/2018,FALSE,Wednesday,FALSE
19/4/2018,FALSE,Thursday,FALSE
20/4/2018,FALSE,Friday,FALSE
21/4/2018,FALSE,Saturday,TRUE
22/4/2018,FALSE,Sunday,TRUE
23/4/2018,FALSE,Monday,FALSE
24/4/2018,FALSE,Tuesday,FALSE
25/4/2018,FALSE,Wednesday,FALSE
26/4/2018,FALSE,Thursday,FALSE
27/4/2018,FALSE,Friday,FALSE
28/4/2018,FALSE,Saturday,TRUE
29/4/2018,FALSE,Sunday,TRUE
30/4/2018,FALSE,Monday,FALSE
1/5/2018,TRUE,Tuesday,FALSE
2/5/2018,FALSE,Wednesday,FALSE
3/5/2018,FALSE,Thursday,FALSE
4/5/2018,FALSE,Friday,FALSE
5/5/2018,FALSE,Saturday,TRUE
6/5/2018,FALSE,Sunday,TRUE
7/5/2018,FALSE,Monday,FALSE
8/5/2018,FALSE,Tuesday,FALSE
9/5/2018,FALSE,Wednesday,FALSE
10/5/2018,FALSE,Thursday,FALSE
11/5/2018,FALSE,Friday,FALSE
12/5/2018,FALSE,Saturday,TRUE
13/5/2018,FALSE,Sunday,TRUE
14/5/2018,FALSE,Monday,FALSE
15/5/2018,FALSE,Tuesday,FALSE
16/5/2018,FALSE,Wednesday,FALSE
17/5/2018,FALSE,Thursday,FALSE
18/5/2018,FALSE,Friday,FALSE
19/5/2018,FALSE,Saturday,TRUE
20/5/2018,FALSE,Sunday,TRUE
21/5/2018,FALSE,Monday,FALSE
22/5/2018,FALSE,Tuesday,FALSE
23/5/2018,FALSE,Wednesday,FALSE
24/5/2018,FALSE,Thursday,FALSE
25/5/2018,FALSE,Friday,FALSE
26/5/2018,FALSE,Saturday,TRUE
27/5/2018,FALSE,Sunday,TRUE
28/5/2018,FALSE,Monday,FALSE
29/5/2018,TRUE,Tuesday,FALSE
30/5/2018,FALSE,Wednesday,FALSE
31/5/2018,FALSE,Thursday,FALSE
1/6/2018,FALSE,Friday,FALSE
2/6/2018,FALSE,Saturday,TRUE
3/6/2018,FALSE,Sunday,TRUE
4/6/2018,FALSE,Monday,FALSE
5/6/2018,FALSE,Tuesday,FALSE
6/6/2018,FALSE,Wednesday,FALSE
7/6/2018,FALSE,Thursday,FALSE
8/6/2018,FALSE,Friday,FALSE
9/6/2018,FALSE,Saturday,TRUE
10/6/2018,FALSE,Sunday,TRUE
11/6/2018,FALSE,Monday,FALSE
12/6/2018,FALSE,Tuesday,FALSE
13/6/2018,FALSE,Wednesday,FALSE
14/6/2018,FALSE,Thursday,FALSE
15/6/2018,TRUE,Friday,FALSE
16/6/2018,FALSE,Saturday,TRUE
17/6/2018,FALSE,Sunday,TRUE
18/6/2018,FALSE,Monday,FALSE
19/6/2018,FALSE,Tuesday,FALSE
20/6/2018,FALSE,Wednesday,FALSE
21/6/2018,FALSE,Thursday,FALSE
22/6/2018,FALSE,Friday,FALSE
23/6/2018,FALSE,Saturday,TRUE
24/6/2018,FALSE,Sunday,TRUE
25/6/2018,FALSE,Monday,FALSE
26/6/2018,FALSE,Tuesday,FALSE
27/6/2018,FALSE,Wednesday,FALSE
28/6/2018,FALSE,Thursday,FALSE
29/6/2018,FALSE,Friday,FALSE
30/6/2018,FALSE,Saturday,TRUE
1/7/2018,FALSE,Sunday,TRUE
2/7/2018,FALSE,Monday,FALSE
3/7/2018,FALSE,Tuesday,FALSE
4/7/2018,FALSE,Wednesday,FALSE
5/7/2018,FALSE,Thursday,FALSE
6/7/2018,FALSE,Friday,FALSE
7/7/2018,FALSE,Saturday,TRUE
8/7/2018,FALSE,Sunday,TRUE
9/7/2018,FALSE,Monday,FALSE
10/7/2018,FALSE,Tuesday,FALSE
11/7/2018,FALSE,Wednesday,FALSE
12/7/2018,FALSE,Thursday,FALSE
13/7/2018,FALSE,Friday,FALSE
14/7/2018,FALSE,Saturday,TRUE
15/7/2018,FALSE,Sunday,TRUE
16/7/2018,FALSE,Monday,FALSE
17/7/2018,FALSE,Tuesday,FALSE
18/7/2018,FALSE,Wednesday,FALSE
19/7/2018,FALSE,Thursday,FALSE
20/7/2018,FALSE,Friday,FALSE
21/7/2018,FALSE,Saturday,TRUE
22/7/2018,FALSE,Sunday,TRUE
23/7/2018,FALSE,Monday,FALSE
24/7/2018,FALSE,Tuesday,FALSE
25/7/2018,FALSE,Wednesday,FALSE
26/7/2018,FALSE,Thursday,FALSE
27/7/2018,FALSE,Friday,FALSE
28/7/2018,FALSE,Saturday,TRUE
29/7/2018,FALSE,Sunday,TRUE
30/7/2018,FALSE,Monday,FALSE
31/7/2018,FALSE,Tuesday,FALSE
1/8/2018,FALSE,Wednesday,FALSE
2/8/2018,FALSE,Thursday,FALSE
3/8/2018,FALSE,Friday,FALSE
4/8/2018,FALSE,Saturday,TRUE
